KODE_PROV,KODE_KK,KODE_KEC,FID,PROVINSI,KAB_KOTA,KECAMATAN,LATITUDE,LONGITUDE,,//WGS84 Coordinates; convention is to use great circle distance
32,32.73,32.73.28,32.73.28,Jawa Barat,Kota Bandung,Panyileukan,-6.9323,107.7062,,
32,32.73,32.73.29,32.73.29,Jawa Barat,Kota Bandung,Cinambo,-6.9275,107.6917,,
32,32.73,32.73.26,32.73.26,Jawa Barat,Kota Bandung,Ujungberung,-6.9054,107.7055,,
32,32.73,32.73.27,32.73.27,Jawa Barat,Kota Bandung,Gedebage,-6.9533,107.6973,,
32,32.73,32.73.30,32.73.30,Jawa Barat,Kota Bandung,Mandalajati,-6.8977,107.6721,,
32,32.73,32.73.02,32.73.02,Jawa Barat,Kota Bandung,Coblong,-6.8849,107.6154,,
32,32.73,32.73.03,32.73.03,Jawa Barat,Kota Bandung,Babakan Ciparay,-6.9437,107.5785,,
32,32.73,32.73.01,32.73.01,Jawa Barat,Kota Bandung,Sukasari,-6.8667,107.5872,,
32,32.73,32.73.06,32.73.06,Jawa Barat,Kota Bandung,Cicendo,-6.9017,107.584,,
32,32.73,32.73.07,32.73.07,Jawa Barat,Kota Bandung,Sukajadi,-6.8883,107.59,,
32,32.73,32.73.04,32.73.04,Jawa Barat,Kota Bandung,Bojongloa Kaler,-6.9329,107.5894,,
32,32.73,32.73.05,32.73.05,Jawa Barat,Kota Bandung,Andir,-6.9105,107.5799,,
32,32.73,32.73.08,32.73.08,Jawa Barat,Kota Bandung,Cidadap,-6.8636,107.6062,,
32,32.73,32.73.09,32.73.09,Jawa Barat,Kota Bandung,Bandung Wetan,-6.9048,107.6171,,
32,32.73,32.73.10,32.73.10,Jawa Barat,Kota Bandung,Astana Anyar,-6.9337,107.6016,,
32,32.73,32.73.13,32.73.13,Jawa Barat,Kota Bandung,Lengkong,-6.9338,107.6248,,
32,32.73,32.73.14,32.73.14,Jawa Barat,Kota Bandung,Cibeunying Kidul,-6.9007,107.6454,,
32,32.73,32.73.11,32.73.11,Jawa Barat,Kota Bandung,Regol,-6.9404,107.6127,,
32,32.73,32.73.12,32.73.12,Jawa Barat,Kota Bandung,Batununggal,-6.9259,107.6371,,
32,32.73,32.73.17,32.73.17,Jawa Barat,Kota Bandung,Bojongloa Kidul,-6.9512,107.598,,
32,32.73,32.73.18,32.73.18,Jawa Barat,Kota Bandung,Cibeunying Kaler,-6.8883,107.6302,,
32,32.73,32.73.15,32.73.15,Jawa Barat,Kota Bandung,Bandung Kulon,-6.9309,107.5651,,
32,32.73,32.73.16,32.73.16,Jawa Barat,Kota Bandung,Kiaracondong,-6.925,107.65,,
32,32.73,32.73.19,32.73.19,Jawa Barat,Kota Bandung,Sumur Bandung,-6.9149,107.6152,,
32,32.73,32.73.20,32.73.20,Jawa Barat,Kota Bandung,Antapani,-6.9169,107.6612,,
32,32.73,32.73.21,32.73.21,Jawa Barat,Kota Bandung,Bandung Kidul,-6.9576,107.6315,,
32,32.73,32.73.24,32.73.24,Jawa Barat,Kota Bandung,Arcamanik,-6.9203,107.677,,
32,32.73,32.73.25,32.73.25,Jawa Barat,Kota Bandung,Cibiru,-6.9147,107.7228,,
32,32.73,32.73.22,32.73.22,Jawa Barat,Kota Bandung,Buahbatu,-6.9501,107.6559,,
32,32.73,32.73.23,32.73.23,Jawa Barat,Kota Bandung,Rancasari,-6.9544,107.6739,,